method,n_images,mean_weka_porosity,mean_predicted_porosity,mean_abs_error,mean_iou,mean_precision,mean_recall,mean_f1
Otsu,4,1.45536925,36.60232468065255,35.146955430652554,0.039344197842685155,0.03934434367435985,0.9999836221297782,0.07364926108266623
Random Forest,4,1.45536925,2.4071114819210617,1.4081022687464748,0.21995607321213936,0.4779125521291846,0.47015252946420044,0.30515102384135045
CNN,4,1.45536925,2.964297983755303,1.9656672337553034,0.1823463666370666,0.18897281779008937,0.47296432410445566,0.2632955140372092
